Format:

,No.,Name,HP,ATK,DEF,SPD,SPC,Type1,Type2,EvlLv,XPGroup
,068,Machamp   ,90,130,80,55,65,09,00,00,03
,069,Bellsprout,50,75,35,40,70,05,11,21,03
,070,Weepinbell,65,90,50,55,85,05,11,55,03
,071,Victreebel,80,105,65,70,100,05,11,00,03
,072,Tentacool ,40,40,35,70,100,03,11,30,01
,073,Tentacruel,80,70,65,100,120,03,11,00,01
,074,Geodude   ,40,80,100,20,30,07,08,25,03
,075,Graveler  ,55,95,115,35,45,07,08,55,03
,076,Golem     ,80,110,130,45,55,07,08,00,03
,077,Ponyta    ,50,85,55,90,65,02,00,40,02
,078,Rapidash  ,65,100,70,105,80,02,00,00,02
,079,Slowpoke  ,90,65,65,15,40,03,13,37,02
,080,Slowbro   ,95,75,110,30,80,03,13,00,02
,081,Magnemite ,25,35,70,45,95,06,00,30,02
,082,Magneton  ,50,60,95,70,120,06,00,00,02
,083,Farfetch'd,52,65,55,60,58,01,12,00,02
,084,Doduo     ,35,85,45,75,35,01,12,31,02
,085,Dodrio    ,60,110,70,100,60,01,12,00,02
,086,Seel      ,65,45,55,45,70,03,00,34,02
,087,Dewgong   ,90,70,80,70,95,03,04,00,02
,088,Grimer    ,80,80,50,25,40,11,00,38,02
,089,Muk       ,105,105,75,50,65,11,00,00,02
,090,Shellder  ,30,65,100,40,45,03,00,35,01
,091,Cloyster  ,50,95,180,70,85,03,04,00,01
,092,Gastly    ,30,35,30,80,100,14,11,25,03
,093,Haunter   ,45,50,45,95,115,14,11,55,03
,094,Gengar    ,60,65,60,110,130,14,11,00,03
,095,Onix      ,35,45,160,70,30,07,08,00,02
,096,Drowzee   ,60,48,45,42,90,13,00,26,02
,097,Hypno     ,85,73,70,67,115,13,00,00,02
,098,Krabby    ,30,105,90,50,25,03,00,28,02
,099,Kingler   ,55,130,115,75,50,03,00,00,02
,100,Voltorb   ,40,30,50,100,55,06,00,30,02
,101,Electrode ,60,50,70,140,80,06,00,00,02
,102,Exeggcute ,60,40,80,40,60,05,13,50,01
,103,Exeggutor ,95,95,85,55,125,05,13,00,01
,104,Cubone    ,50,50,95,35,40,08,00,28,02
,105,Marowak   ,60,80,110,45,50,08,00,00,02
,106,Hitmonlee ,50,120,53,87,35,09,00,00,02
,107,Hitmonchan,50,105,79,76,35,09,00,00,02
,108,Lickitung ,90,55,75,30,60,01,00,00,02
,109,Koffing   ,40,65,95,35,60,11,00,35,02
,110,Weezing   ,65,90,120,60,85,11,00,00,02
,111,Rhyhorn   ,80,85,95,25,30,08,07,42,01
,112,Rhydon    ,105,130,120,40,45,08,07,00,01
,113,Chansey   ,250,5,5,50,105,01,00,00,04
