,049,Venomoth,70,65,60,90,90,10,11,00,02,158
,050,Diglett,10,55,25,95,45,08,00,26,02,053
,051,Dugtrio,35,80,50,120,70,08,00,00,02,142
,052,Meowth,40,45,35,90,40,01,00,28,02,058
,053,Persian,65,70,60,115,65,01,00,00,02,154
,054,Psyduck,50,52,48,55,50,03,00,33,02,064
,055,Golduck,80.82,78,85,80,03,00,00,02,175
,056,Mankey,40,80,35,70,35,09,00,28,02,061
,057,Primeape,65,105,60,95,60,09,00,00,02,159
,058,Growlithe,55,70,45,60,50,02,00,35,01,070
,059,Arcanine,90,110,80,95,80,02,00,00,01,194
,060,Poliwag,40,50,40,90,40,03,00,25,03,060
,061,Poliwhirl,65,65,65,90,40,03,00,55,03,135
,062,Poliwrath,90,85,95,70,70,03,09,00,03,225
,063,Abra,25,20,15,90,105,13,00,16,03,062
,064,Kadabra,40,35,30,105,120,13,00,55,03,140
,065,Alakazam,55,50,45,120,135,13,00,00,03,221
,066,Machop,70,80,50,35,35,09,00,28,03,061
,067,Machoke,80,100,70,45,50,09,00,55,03,142
,068,Machamp,90,130,80,55,65,09,00,00,03,227
,069,Bellsprout,50,75,35,40,70,05,11,21,03,060
,070,Weepinbell,65,90,50,55,85,05,11,55,03,137
,071,Victreebel,80,105,65,70,100,05,11,00,03,216
,072,Tentacool,40,40,35,70,100,03,11,30,01,067
,073,Tentacruel,80,70,65,100,120,03,11,00,01,180
,074,Geodude,40,80,100,20,30,07,08,25,03,060
,075,Graveler,55,95,115,35,45,07,08,55,03,137
,076,Golem,80,110,130,45,55,07,08,00,03,218
,077,Ponyta,50,85,55,90,65,02,00,40,02,082
,078,Rapidash,65,100,70,105,80,02,00,00,02,175
,079,Slowpoke,90,65,65,15,40,03,13,37,02,063
,080,Slowbro,95,75,110,30,80,03,13,00,02,172
,081,Magnemite,25,35,70,45,95,06,00,30,02,065
,082,Magneton,50,60,95,70,120,06,00,00,02,163
,083,Farfetch'd,52,65,55,60,58,01,12,00,02,123
,084,Doduo,35,85,45,75,35,01,12,31,02,062
,085,Dodrio,60,110,70,100,60,01,12,00,02,161
,086,Seel,65,45,55,45,70,03,00,34,02,065
,087,Dewgong,90,70,80,70,95,03,04,00,02,166
,088,Grimer,80,80,50,25,40,11,00,38,02,065
,089,Muk,105,105,75,50,65,11,00,00,02,175
,090,Shellder,30,65,100,40,45,03,00,35,01,061
,091,Cloyster,50,95,180,70,85,03,04,00,01,184
,092,Gastly,30,35,30,80,100,14,11,25,03,062
,093,Haunter,45,50,45,95,115,14,11,55,03,142
,094,Gengar,60,65,60,110,130,14,11,00,03,225
,095,Onix,35,45,160,70,30,07,08,00,02,77
,096,Drowzee,60,48,45,42,90,13,00,26,02,66
,097,Hypno,85,73,70,67,115,13,00,00,02,169
,098,Krabby,30,105,90,50,25,03,00,28,02,065
,099,Kingler,55,130,115,75,50,03,00,00,02,166
,100,Voltorb,40,30,50,100,55,06,00,30,02,066
,101,Electrode,60,50,70,140,80,06,00,00,02,168
,102,Exeggcute,60,40,80,40,60,05,13,50,01,065
,103,Exeggutor,95,95,85,55,125,05,13,00,01,182
,104,Cubone,50,50,95,35,40,08,00,28,02,064
,105,Marowak,60,80,110,45,50,08,00,00,02,149
,106,Hitmonlee,50,120,53,87,35,09,00,00,02,159
,107,Hitmonchan,50,105,79,76,35,09,00,00,02,159
,108,Lickitung,90,55,75,30,60,01,00,00,02,077
,109,Koffing,40,65,95,35,60,11,00,35,02,068
,110,Weezing,65,90,120,60,85,11,00,00,02,172
,111,Rhyhorn,80,85,95,25,30,08,07,42,01,069
,112,Rhydon,105,130,120,40,45,08,07,00,01,170
,113,Chansey,250,5,5,50,105,01,00,00,04,395
,114,Tangela,65,55,115,60,100,05,00,00,02,087
,115,Kangaskhan,105,95,80,90,40,01,00,00,02,172
,116,Horsea,30,40,70,60,70,03,00,32,02,059
,117,Seadra,55,65,95,85,95,03,00,00,02,154
,118,Goldeen,45,67,60,63,50,03,00,33,02,064
,119,Seaking,80,92,65,68,80,03,00,00,02,158
,120,Staryu,30,45,55,85,70,03,00,35,01,068
,121,Starmie,60,75,85,115,100,03,13,00,01,182
,122,Mr.Mime,40,45,65,90,100,13,00,00,02,161
,123,Scyther,70,110,80,105,55,10,12,00,02,100
,124,Jynx,65,50,35,95,95,04,13,00,02,159
,125,Electabuzz,65,83,57,105,85,06,00,00,02,172
,126,Magmar,65,95,57,93,85,02,00,00,02,173
,127,Pinsir,65,125,100,85,55,10,00,00,01,175
,128,Tauros,75,100,95,110,70,01,00,00,01,172
,129,Magikarp,20,10,55,80,20,03,00,20,01,40
,130,Gyarados,95,125,79,81,100,03,12,00,01,189
,131,Lapras,130,85,80,60,95,03,04,00,01,187
,132,Ditto,48,48,48,48,48,01,00,00,02,101
,133,Eevee,55,55,50,55,65,01,00,00,02,065
,134,Vaporeon,130,65,60,65,110,03,00,00,02,184
,135,Jolteon,65,65,50,130,110,06,00,00,02,184
,136,Flareon,65,130,60,65,110,02,00,00,02,184
,137,Porygon,65,60,70,40,75,01,00,00,02,079
,138,Omanyte,35,40,100,35,90,07,03,40,02,071
,139,Omastar,70,60,125,55,115,07,03,00,02,173
,140,Kabuto,30,80,90,55,45,07,03,40,02,071
,141,Kabutops,60,115,105,80,70,07,03,00,02,173
,142,Aerodactyl,80,105,65,130,60,07,12,00,01,180
,143,Snorlax,160,110,65,30,65,01,00,00,01,189
,144,Articuno,90,85,100,85,125,04,12,00,01,261
,145,Zapdos,90,90,85,100,125,06,12,00,01,261
,146,Moltres,90,100,90,90,125,02,12,00,01,261
,147,Dratini,41,64,45,50,50,15,00,30,01,060
,148,Dragonair,61,84,65,70,70,15,00,55,01,147
,149,Dragonite,91,134,95,80,100,15,12,00,01,270
,150,Mewtwo,106,110,90,130,154,13,00,00,01,306
,151,Mew,100,100,100,100,100,13,00,00,01,270
